Country,ISO_code,Region,Capital_City,Area_km2,Population,Currency
Iraq,IRQ,"Middle East & North Africa","Baghdad","438317",40222503,"Iraqi dinar"
Iceland,ISL,"Europe & Central Asia","Reykjavik","102775",366425,"Icelandic krona"
Israel,ISR,"Middle East & North Africa","Jerusalem","20770",8655541,"Israeli new shekel"
Italy,ITA,"Europe & Central Asia","Rome","301340",60431283,"Euro"
Jamaica,JAM,"Latin America & Caribbean","Kingston","10991",2961167,"Jamaican dollar"
Jordan,JOR,"Middle East & North Africa","Amman","89342",10203134,"Jordanian dinar"
Japan,JPN,"East Asia & Pacific","Tokyo","377975",126476461,"Japanese yen"
Kazakhstan,KAZ,"Europe & Central Asia","Nur-Sultan","2724900",18776707,"Kazakhstani tenge"
Kenya,KEN,"Sub-Saharan Africa","Nairobi","580367",53771300,"Kenyan shilling"
Kyrgyz Republic,KGZ,"Europe & Central Asia","Bishkek","199951",6524195,"Kyrgyzstani som"
Cambodia,KHM,"East Asia & Pacific","Phnom Penh","181035",16718965,"Cambodian riel"
Kiribati,KIR,"East Asia & Pacific","Tarawa","726",119449,"Australian dollar"
St. Kitts and Nevis,KNA,"Latin America & Caribbean","Basseterre","261",53199,"East Caribbean dollar"
Korea Rep.,KOR,"East Asia & Pacific","Seoul","100210",51269185,"South Korean won"
Kuwait,KWT,"Middle East & North Africa","Kuwait City","17818",4270571,"Kuwaiti dinar"
Latin America & Caribbean (excluding high income),,"Latin America & Caribbean",,,,
Lao PDR,LAO,"East Asia & Pacific","Vientiane","236800",7275556,"Lao or Laotian kip"
Lebanon,LBN,"Middle East & North Africa","Beirut","10452",6825442,"Lebanese pound"
Liberia,LBR,"Sub-Saharan Africa","Monrovia","111369",5057677,"Liberian dollar"
Libya,LBY,"Middle East & North Africa","Tripoli","1759540",6871287,"Libyan dinar"
St. Lucia,LCA,"Latin America & Caribbean","Castries","616",183627,"East Caribbean dollar"
Latin America & Caribbean,,"Latin America & Caribbean",,,,
Least developed countries: UN classification,,"World",,,,
Low income,,"World",,,,
Liechtenstein,LIE,"Europe & Central Asia","Vaduz","160",38128,"Swiss franc"
Sri Lanka,LKA,"South Asia","Colombo","65610",21413249,"Sri Lankan rupee"
Lower middle income,,"World",,,,
Low & middle income,,"World",,,,
Lesotho,LSO,"Sub-Saharan Africa","Maseru","30355",2142249,"Lesotho loti"
Late-demographic dividend,,"World",,,,
Lithuania,LTU,"Europe & Central Asia","Vilnius","65300",2722289,"Euro"
Luxembourg,LUX,"Europe & Central Asia","Luxembourg","2586",625978,"Euro"
Latvia,LVA,"Europe & Central Asia","Riga","64589",1886198,"Euro"
Macao SAR China,MAC,"East Asia & Pacific","Macao","32",649335,"Macau pataca"
St. Martin (French part),MAF,"Latin America & Caribbean","Marigot","53",38666,"Euro"
Morocco,MAR,"Middle East & North Africa","Rabat","446550",36910560,"Moroccan dirham"
Monaco,MCO,"Europe & Central Asia","Monaco","2",39242,"Euro"
Moldova,MDA,"Europe & Central Asia","Chisinau","33851",4033963,"Moldovan leu"
Madagascar,MDG,"Sub-Saharan Africa","Antananarivo","587041",27691019,"Malagasy ariary"
Maldives,MDV,"South Asia","Malé","298",540544,"Maldivian rufiyaa"
Middle East & North Africa,,"Middle East & North Africa",,,,
Mexico,MEX,"Latin America & Caribbean","Mexico City","1964375",128932753,"Mexican peso"
Marshall Islands,MHL,"East Asia & Pacific","Majuro","181",59190,"US dollar"
Middle income,,"World",,,,
North Macedonia,MKD,"Europe & Central Asia","Skopje","25713",2083380,"Macedonian denar"
Mali,MLI,"Sub-Saharan Africa","Bamako","1248574",20250834,"West African CFA franc"
Malta,MLT,"Europe & Central Asia","Valletta","316",441543,"Euro"
Myanmar,MMR,"East Asia & Pacific","Naypyidaw","676578",54409794,"Burmese kyat"
Middle East & North Africa (excluding high income),,"Middle East & North Africa",,,,
Montenegro,MNE,"Europe & Central Asia","Podgorica","13812",622182,"Euro"
Mongolia,MNG,"East Asia & Pacific","Ulaanbaatar","1564116",3278290,"Mongolian tugrik"
Northern Mariana Islands,MNP,"East Asia & Pacific","Saipan","457",57557,"US dollar"
Mozambique,MOZ,"Sub-Saharan Africa","Maputo","799380",31255435,"Mozambican metical"
Mauritania,MRT,"Sub-Saharan Africa","Nouakchott","1030700",4649658,"Mauritanian ouguiya"
Mauritius,MUS,"Sub-Saharan Africa","Port Louis","2040",1271768,"Mauritian rupee"
Malawi,MWI,"Sub-Saharan Africa","Lilongwe","118484",19129952,"Malawian kwacha"
Malaysia,MYS,"East Asia & Pacific","Kuala Lumpur","330803",32365999,"Malaysian ringgit"
North America,,"North America",,,,
Namibia,NAM,"Sub-Saharan Africa","Windhoek","824292",2540905,"Namibian dollar"
New Caledonia,NCL,"East Asia & Pacific","Nouméa","18575",285491,"CFP franc"
Niger,NER,"Sub-Saharan Africa","Niamey","1267000",24206644,"West African CFA franc"
Nigeria,NGA,"Sub-Saharan Africa","Abuja","923768",206139589,"Nigerian naira"
Nicaragua,NIC,"Latin America & Caribbean","Managua","130373",6624554,"Nicaraguan cordoba"
Netherlands,NLD,"Europe & Central Asia","Amsterdam","41543",17134872,"Euro"
Norway,NOR,"Europe & Central Asia","Oslo","323808",5421241,"Norwegian krone"
Nepal,NPL,"South Asia","Kathmandu","147516",29136808,"Nepalese rupee"
Nauru,NRU,"East Asia & Pacific","Yaren","21",10824,"Australian dollar"
New Zealand,NZL,"East Asia & Pacific","Wellington","270467",4822233,"New Zealand dollar"
OECD members,,"World",,,,
Oman,OMN,"Middle East & North Africa","Muscat","309500",5106626,"Omani rial"
Other small states,,"World",,,,
Pakistan,PAK,"South Asia","Islamabad","881913",220892340,"Pakistani rupee"
Panama,PAN,"Latin America & Caribbean","Panama City","75417",4314767,"Panamanian balboa"
Peru,PER,"Latin America & Caribbean","Lima","1285216",32971846,"Peruvian sol"
Philippines,PHL,"East Asia & Pacific","Manila","300000",109581085,"Philippine peso"
Palau,PLW,"East Asia & Pacific","Ngerulmud","459",18094,"US dollar"
Papua New Guinea,PNG,"East Asia & Pacific","Port Moresby","462840",8947024,"Papua New Guinean kina"
Poland,POL,"Europe & Central Asia","Warsaw","312696",37846611,"Polish zloty"
Pre-demographic dividend,,"World",,,,
Puerto Rico,PRI,"Latin America & Caribbean","San Juan","8870",2860853,"US dollar"
Korea Dem. People's Rep.,PRK,"East Asia & Pacific","Pyongyang","120538",25778816,"North Korean won"
Portugal,PRT,"Europe & Central Asia","Lisbon","92212",10196709,"Euro"
Paraguay,PRY,"Latin America & Caribbean","Asunción","406752",7132535,"Paraguayan guarani"
West Bank and Gaza,PSE,"Middle East & North Africa",,"6020",4685306,"Israeli new shekel"
Pacific island small states,,"East Asia & Pacific",,,,
Post-demographic dividend,,"World",,,,
French Polynesia,PYF,"East Asia & Pacific","Papeete","4167",280904,"CFP franc"
Qatar,QAT,"Middle East & North Africa","Doha","11586",2881053,"Qatari riyal"
Romania,ROU,"Europe & Central Asia","Bucharest","238391",19237691,"Romanian leu"
Russian Federation,RUS,"Europe & Central Asia","Moscow","17098242",145912025,"Russian ruble"
Rwanda,RWA,"Sub-Saharan Africa","Kigali","26338",12952218,"Rwandan franc"
South Asia,,"South Asia",,,,
Saudi Arabia,SAU,"Middle East & North Africa","Riyadh","2149690",34813871,"Saudi Arabian riyal"
Sudan,SDN,"Sub-Saharan Africa","Khartoum","1886068",43849260,"Sudanese pound"
Senegal,SEN,"Sub-Saharan Africa","Dakar","196712",16743930,"West African CFA franc"
Singapore,SGP,"East Asia & Pacific","Singapore","697",5850342,"Singapore dollar"
Solomon Islands,SLB,"East Asia & Pacific","Honiara","28896",682500,"Solomon Islands dollar"
Sierra Leone,SLE,"Sub-Saharan Africa","Freetown","71740",7976985,"Sierra Leonean leone"
El Salvador,SLV,"Latin America & Caribbean","San Salvador","21041",6486205,"US dollar"
San Marino,SMR,"Europe & Central Asia","San Marino","61",33938,"Euro"
Somalia,SOM,"Sub-Saharan Africa","Mogadishu","637657",15893219,"Somali shilling"
Serbia,SRB,"Europe & Central Asia","Belgrade","77474",8737371,"Serbian dinar"
Sub-Saharan Africa (excluding high income),,"Sub-Saharan Africa",,,,
South Sudan,SSD,"Sub-Saharan Africa","Juba","644329",11193729,"South Sudanese pound"
Sub-Saharan Africa,,"Sub-Saharan Africa",,,,
Small states,,"World",,,,
Sao Tome and Principe,STP,"Sub-Saharan Africa","São Tomé","1001",219161,"Sao Tomean dobra"
Suriname,SUR,"Latin America & Caribbean","Paramaribo","163820",586634,"Surinamese dollar"
Slovak Republic,SVK,"Europe & Central Asia","Bratislava","49035",5459642,"Euro"
Slovenia,SVN,"Europe & Central Asia","Ljubljana","20273",2078932,"Euro"
Sweden,SWE,"Europe & Central Asia","Stockholm","450295",10099265,"Swedish krona"
Eswatini,SWZ,"Sub-Saharan Africa","Mbabane","17364",1160164,"Swazi lilangeni"
Sint Maarten (Dutch part),SXM,"Latin America & Caribbean",,"34",42388,"Netherlands Antillean guilder"
Seychelles,SYC,"Sub-Saharan Africa","Victoria","459",98340,"Seychellois rupee"
Syrian Arab Republic,SYR,"Middle East & North Africa","Damascus","185180",17500658,"Syrian pound"
Turks and Caicos Islands,TCA,"Latin America & Caribbean","Cockburn Town","948",38191,"US dollar"
Chad,TCD,"Sub-Saharan Africa","N'Djamena","1284000",16425864,"Central African CFA franc"
East Asia & Pacific (IDA & IBRD countries),,"East Asia & Pacific",,,,
Europe & Central Asia (IDA & IBRD countries),,"Europe & Central Asia",,,,
Togo,TGO,"Sub-Saharan Africa","Lome","56600",8278737,"West African CFA franc"
Thailand,THA,"East Asia & Pacific","Bangkok","513120",69799978,"Thai baht"
Tajikistan,TJK,"Europe & Central Asia","Dushanbe","143100",9537645,"Tajikistani somoni"
Turkmenistan,TKM,"Europe & Central Asia","Ashgabat","488100",6031200,"Turkmen manat"
Latin America & the Caribbean (IDA & IBRD countries),,"Latin America & Caribbean",,,,
Timor-Leste,TLS,"East Asia & Pacific","Dili","14874",1318445,"US dollar"
Middle East & North Africa (IDA & IBRD countries),,"Middle East & North Africa",,,,
Tonga,TON,"East Asia & Pacific","Nuku'alofa","747",109008,"Tongan pa'anga"
South Asia (IDA & IBRD),,"South Asia",,,,
Sub-Saharan Africa (IDA & IBRD countries),,"Sub-Saharan Africa",,,,
Trinidad and Tobago,TTO,"Latin America & Caribbean","Port of Spain","5155",1394973,"Trinidadian dollar"
Tunisia,TUN,"Middle East & North Africa","Tunis","163610",11818619,"Tunisian dinar"
Turkiye,TUR,"Europe & Central Asia","Ankara","783562",84339067,"Turkish lira"
Tuvalu,TUV,"East Asia & Pacific","Funafuti","26",11792,"Australian dollar"
Tanzania,TZA,"Sub-Saharan Africa","Dodoma","947303",59734218,"Tanzanian shilling"
Uganda,UGA,"Sub-Saharan Africa","Kampala","241038",45741007,"Ugandan shilling"
Ukraine,UKR,"Europe & Central Asia","Kyiv","603500",43733762,"Ukrainian hryvnia"
Upper middle income,,"World",,,,
Uruguay,URY,"Latin America & Caribbean","Montevideo","176215",3473730,"Uruguayan peso"
United States,USA,"North America","Washington D.C.","9833520",332915073,"US dollar"
Uzbekistan,UZB,"Europe & Central Asia","Tashkent","448978",34232050,"Uzbekistani som"
St. Vincent and the Grenadines,VCT,"Latin America & Caribbean","Kingstown","389",110947,"East Caribbean dollar"
Venezuela RB,VEN,"Latin America & Caribbean","Caracas","912050",28435943,"Venezuelan bolivar"
British Virgin Islands,VGB,"Latin America & Caribbean","Road Town","151",30030,"US dollar"
Virgin Islands (U.S.),VIR,"Latin America & Caribbean","Charlotte Amalie","347",106235,"US dollar"
Vietnam,VNM,"East Asia & Pacific","Hanoi","331212",98168829,"Vietnamese dong"
Vanuatu,VUT,"East Asia & Pacific","Port Vila","12189",314464,"Vanuatu vatu"
World,,"World",,,,
Samoa,WSM,"East Asia & Pacific","Apia","2831",200917,"Samoan tala"
Kosovo,KSV,"Europe & Central Asia",,"10887",1932774,"Euro"
Yemen Rep.,YEM,"Middle East & North Africa","Sanaa","527968",30490640,"Yemeni rial"
South Africa,ZAF,"Sub-Saharan Africa","Pretoria","1219090",61475495,"South African rand"
Zambia,ZMB,"Sub-Saharan Africa","Lusaka","752612",18920657,"Zambian kwacha"
Zimbabwe,ZWE,"Sub-Saharan Africa","Harare","390757",14899771,"Zimbabwean dollar"
